game_id,rush_attempt,pass_attempt,sack,passing_yards,rushing_yards,home_team,away_team,total_home_score,total_away_score,is_home_team,win
2024_08_PHI_CIN,20.0,38.0,1.0,234.0,58.0,CIN,PHI,17,37,True,0
2024_08_PHI_CIN,39.0,20.0,0.0,236.0,161.0,CIN,PHI,17,37,False,1
2024_08_TEN_DET,24.0,23.0,4.0,94.0,164.0,DET,TEN,52,14,True,1
2024_08_TEN_DET,32.0,39.0,1.0,266.0,158.0,DET,TEN,52,14,False,0
2024_09_CHI_ARI,34.0,23.0,3.0,154.0,213.0,ARI,CHI,29,9,True,1
2024_09_CHI_ARI,23.0,47.0,6.0,217.0,69.0,ARI,CHI,29,9,False,0
2024_09_DAL_ATL,30.0,27.0,2.0,222.0,100.0,ATL,DAL,27,21,True,1
2024_09_DAL_ATL,21.0,54.0,3.0,248.0,137.0,ATL,DAL,27,21,False,0
2024_09_DEN_BAL,34.0,20.0,1.0,280.0,127.0,BAL,DEN,41,10,True,1
2024_09_DEN_BAL,30.0,38.0,4.0,225.0,122.0,BAL,DEN,41,10,False,0
2024_09_DET_GB,32.0,23.0,1.0,145.0,124.0,GB,DET,14,24,False,1
2024_09_DET_GB,23.0,40.0,0.0,273.0,138.0,GB,DET,14,24,True,0
2024_09_HOU_NYJ,36.0,39.0,8.0,191.0,187.0,NYJ,HOU,21,13,False,0
2024_09_HOU_NYJ,21.0,34.0,2.0,211.0,100.0,NYJ,HOU,21,13,True,1
2024_09_IND_MIN,19.0,30.0,3.0,179.0,68.0,MIN,IND,21,13,False,0
2024_09_IND_MIN,32.0,39.0,4.0,312.0,133.0,MIN,IND,21,13,True,1
2024_09_JAX_PHI,18.0,35.0,2.0,169.0,60.0,PHI,JAX,28,23,False,0
2024_09_JAX_PHI,48.0,28.0,3.0,230.0,237.0,PHI,JAX,28,23,True,1
2024_09_LAC_CLE,24.0,52.0,6.0,235.0,79.0,CLE,LAC,10,27,True,0
2024_09_LAC_CLE,23.0,33.0,6.0,282.0,96.0,CLE,LAC,10,27,False,1
2024_09_LA_SEA,24.0,44.0,0.0,298.0,68.0,SEA,LA,20,26,False,1
2024_09_LA_SEA,33.0,41.0,7.0,363.0,107.0,SEA,LA,20,26,True,0
2024_09_LV_CIN,31.0,40.0,1.0,251.0,130.0,CIN,LV,41,24,True,1
2024_09_LV_CIN,21.0,38.0,5.0,198.0,60.0,CIN,LV,41,24,False,0
2024_09_MIA_BUF,19.0,41.0,1.0,235.0,94.0,BUF,MIA,30,27,True,1
2024_09_MIA_BUF,31.0,29.0,1.0,231.0,149.0,BUF,MIA,30,27,False,0
2024_09_NE_TEN,20.0,45.0,4.0,206.0,110.0,TEN,NE,20,17,False,0
2024_09_NE_TEN,39.0,34.0,1.0,240.0,167.0,TEN,NE,20,17,True,1
2024_09_NO_CAR,23.0,28.0,1.0,171.0,80.0,CAR,NO,23,22,True,1
2024_09_NO_CAR,41.0,34.0,1.0,236.0,197.0,CAR,NO,23,22,False,0
2024_09_TB_KC,35.0,48.0,4.0,291.0,124.0,KC,TB,30,24,True,1
2024_09_TB_KC,19.0,33.0,2.0,200.0,95.0,KC,TB,30,24,False,0
